candidate,n_folds,seed,fold,system,coef,coef_norm,intercept
ours+2GMM,5,44,0,timepool_T150_aug,1.0823305680037019,0.6011511499214198,-2.1606149340723775
ours+2GMM,5,44,0,CQCC-GMM,0.37261859926392105,0.20696089166433734,-2.1606149340723775
ours+2GMM,5,44,0,LFCC-GMM,0.345480837973455,0.19188795841424286,-2.1606149340723775
ours+2GMM,5,44,1,timepool_T150_aug,1.0447074766420383,0.5944266099320249,-2.160643726504273
ours+2GMM,5,44,1,CQCC-GMM,0.3614919926662145,0.20568481084181767,-2.160643726504273
ours+2GMM,5,44,1,LFCC-GMM,0.3513050891796399,0.19988857922615735,-2.160643726504273
ours+2GMM,5,44,2,timepool_T150_aug,1.1403355631044472,0.6232219418563286,-2.076223262286917
ours+2GMM,5,44,2,CQCC-GMM,0.37150394071905796,0.20303620691430033,-2.076223262286917
ours+2GMM,5,44,2,LFCC-GMM,0.3179028183223488,0.173741851229371,-2.076223262286917
ours+2GMM,5,44,3,timepool_T150_aug,1.0749220826792187,0.5952202240263682,-2.0885936110862886
ours+2GMM,5,44,3,CQCC-GMM,0.4651631412802312,0.257576352391538,-2.0885936110862886
ours+2GMM,5,44,3,LFCC-GMM,0.2658380953254803,0.14720342358209373,-2.0885936110862886
ours+2GMM,5,44,4,timepool_T150_aug,1.0428873923324777,0.5811730804806374,-2.1647724990237354
ours+2GMM,5,44,4,CQCC-GMM,0.4328197660526738,0.24119880878716002,-2.1647724990237354
ours+2GMM,5,44,4,LFCC-GMM,0.3187451783782733,0.17762811073220258,-2.1647724990237354
ours+4base,5,44,0,timepool_T150_aug,1.061441177167095,0.5254434250358823,-2.167710746185138
ours+4base,5,44,0,CQCC-GMM,0.38612909929391825,0.19114483289645104,-2.167710746185138
ours+4base,5,44,0,LFCC-GMM,0.34047185944335095,0.16854320691770852,-2.167710746185138
ours+4base,5,44,0,LFCC-LCNN,0.13133354745358994,0.06501382316851967,-2.167710746185138
ours+4base,5,44,0,RawNet2,-0.1007108313693158,-0.04985471198143841,-2.167710746185138
ours+4base,5,44,1,timepool_T150_aug,1.0150221066122642,0.508538568487611,-2.170739282443253
ours+4base,5,44,1,CQCC-GMM,0.3778510399160794,0.18930802165659597,-2.170739282443253
ours+4base,5,44,1,LFCC-GMM,0.34075118497730933,0.1707205377005769,-2.170739282443253
ours+4base,5,44,1,LFCC-LCNN,0.16524234766469637,0.08278845001258368,-2.170739282443253
ours+4base,5,44,1,RawNet2,-0.09709226968761145,-0.048644422142632385,-2.170739282443253
ours+4base,5,44,2,timepool_T150_aug,1.1193508792142801,0.5817899328735268,-2.079093360129122
ours+4base,5,44,2,CQCC-GMM,0.37685214586708643,0.19587136501930186,-2.079093360129122
ours+4base,5,44,2,LFCC-GMM,0.3078733427109818,0.16001918139833032,-2.079093360129122
ours+4base,5,44,2,LFCC-LCNN,0.09109604886086085,0.047347766581472495,-2.079093360129122
ours+4base,5,44,2,RawNet2,-0.028805321644321324,-0.014971754127368583,-2.079093360129122
ours+4base,5,44,3,timepool_T150_aug,1.0579443959665955,0.5295282258193432,-2.0947766962252103
ours+4base,5,44,3,CQCC-GMM,0.4738281681335559,0.237163115728545,-2.0947766962252103
